"","Осталось неисполненных к 1 января 1851 г.","К тому по 1 января 1852 г. поступило: Требующих производства","К тому по 1 января 1852 г. поступило: Подлежащих к приобщению к делу или к сведению","ИТОГО","Из сего числа исполнено к 1 января 1852 г.","За тем к 1 января 1852 г. осталось неисполненных","Исполнить номеров с 1 января 1851 по 1 января 1852 г."
"По Енисейскому Общему Губернскому управлению","94","15992","4510","16086","16033","53","21263"
"– Губернскому правлению","1870","19634","9354","21504","20229","1275","61328"
"– Казенной палате","210","14558","6074","14768","14118","650","10513"
"– Губернскому суду","55","4524","628","4519","4523","56","5307"
"– Приказу общественного призрения","8","1998","667","2006","1994","12","2741"
"– Врачебной управе","266","1573","131","1839","1829","10","1203"
"У Губернского Прокурора","34","1740","519","1774","1747","27","1447"
"ОКРУЖНЫХ СТРЯПЧИХ:","","","","","","",""
"Красноярского","15","1719","209","1734","1720","14","1643"
"Енисейского","3","1895","507","1898","1898","—","2203"
"Канского","—","1570","291","1570","1570","—","2814"
"Минусинского","12","2111","1031","2123","2113","10","1840"
"Ачинского","3","2155","1055","2158","2156","2","4774"
"Губернского и окружного землемеров","55","562","747","617","560","57","1417"
"Строительной Комиссии и у Губернского архитектора","13","1353","813","1356","1357","5","1522"
"ПО ОБЩИМ ОКРУЖНЫМ УПРАВЛЕНИЯМ:","","","","","","",""
"Енисейскому","27","1044","1174","1071","1039","32","2344"
"Минусинском","15","1713","963","1728","1722","6","2494"
"ГРАДСКИМ ПОЛИЦИЯМ И У ГОРОДНИЧИХ:","","","","","","",""
"Красноярской","197","10822","2088","11019","10793","226","14354"
"Енисейской","203","7424","969","7627","7600","27","7212"
"Канской","64","6126","640","6190","6109","81","4434"
"Минусинской","41","3854","620","3895","3843","52","4110"
"Ачинской","74","4493","951","4567","4471","96","4142"
"ГРАДСКИМ ДУМАМ:","","","","","","",""
"Красноярской","2","1834","184","1836","1835","1","2317"
"Енисейской","1","995","514","996","996","—","1186"
"Ачинской городовой Ратуше","18","1889","498","1907","1875","32","2034"
"ОКРУЖНЫМ СУДАМ:","","","","","","",""
"Красноярскому","6","3787","1257","3793","3778","15","3905"
"Енисейскому","203","2348","573","2557","2461","90","2580"
"Канскому","35","2150","250","2185","2172","13","3025"
"Минусинскому","20","1235","1076","1255","1238","17","2156"
"Ачинскому","41","1112","1724","1153","1128","25","2318"
"ПО ГОРОДОВЫМ СУДАМ:","","","","","","",""
"Красноярскому","—","1166","1054","1166","1166","—","2874"
"Енисейскому","—","1141","483","1141","1131","10","2238"
"СИРОТСКИМ СУДАМ:","","","","","","",""
"Красноярскому","2","364","183","366","363","3","956"
"Енисейскому","—","177","2147","177","177","—","273"
"СЛОВЕСНЫМ СУДАМ:","","","","","","",""
"Минусинскому","16","713","131","729","716","13","864"
"Канскому","4","638","341","642","636","6","1354"
"Красноярскому","—","—","—","—","—","—","—"
"ПО ЗЕМСКИМ СУДАМ:","","","","","","",""
"Красноярскому","150","10926","5375","11076","10975","101","17750"
"Енисейскому","53","7928","4884","7981","7969","12","14275"
"Канскому","182","4637","8375","4819","4690","129","14889"
"Минусинскому","350","7268","4510","7618","7573","45","15398"
"Ачинскому","44","10130","3484","10174","10083","91","13774"
"ОКРУЖНЫМ КАЗНАЧЕЙСТВАМ:","","","","","","",""
"Красноярскому","18","4369","1218","4387","4303","84","2285"
"Енисейскому","50","2468","550","2518","2479","39","2479"
"Канскому","5","715","173","720","717","3","1217"
"Минусинскому","8","2756","189","2764","2757","7","1428"
"Ачинскому","—","313","219","313","313","—","1093"
"Итого","4457","177919","71433","182376","178949","3427","271770"
