"№ по прежней ведомости","№ по настоящей ведомости","Время вступления","Содержание дел","За чем остаются нерешенными"
"","1","По 1-му Отделению 1-го Стола
О еврейских детях, подлежащих к зачислению в военные кантонисты","Производство этого дела заключается в собирании* справок по подаваемым евреями просьбам."
"5","2","1832
30 января","О собрании сведений, относящихся до настоящего состояния пожарной части и лучшего устройства оного на будущее время","Дело это состоит в рассмотрении"
"9","3","19 августа","О беспорядках и упущениях, замеченных г. Сенатором при ревизии присутственных мест, а именно Ачинских Окружного и Земского судов","По рассмотрении полученных по этому делу от подведомственных мест донесений указом от 17 марта 1851 г. затребовано от Ачинского Окружного суда сведения о приведении в окончательное исполнение замечания г. Сенатора в отношении архивных дел, о чем ему строжайше подтверждено от 29 февраля 1852 г."
"10","4","1843
12 ноября","Енисейских Присутственных мест вообще","За неполучением исполнительных донесений от Красноярского и Ачинского Земских судов на указы от 10 июня 1846 г., подтвержденные 1 мая 1849, 7 апреля 1850 г., 30 апреля 1851 г. и 19 марта 1852 г."
"11","5","1844
23 января","Канских Присутственных мест вообще и тамошнего округа","Состоит в рассмотрении"
"6","12","13 марта","О производстве исследования о рождении солдатских сыновей Платона Бронникова и других, всего тринадцати человек","За неполучением исполнительных донесений на указы от Красноярского Земского суда 23 января 1852 г. и Енисейской Общей Городовой управы от 10 мая 1851 г., указы эти подтверждены 23 января 1852 г."
